id,subject,unit,topic,difficulty,question_type,type,question,options,correct_answer,explanation,starter_code,test_cases
che110-u1-12,CHE110,1,Spheres of Earth,medium,MCQ,mcq,Which sphere of the Earth represents the living portion and supports all life?,"[""Biosphere"", ""Ionosphere"", ""Mesosphere"", ""Lithosphere""]",0,"The biosphere is the zone of life on Earth, encompassing all ecosystems. It extends from the deep ocean floor to the upper atmosphere and includes all living organisms and their interactions.",,
che110-u1-13,CHE110,1,History,easy,MCQ,mcq,In which year was the Brundtland Report ('Our Common Future') published?,"[""1987"", ""1992"", ""1972"", ""2000""]",0,The Brundtland Report was published in 1987 by the World Commission on Environment and Development. It introduced the widely accepted definition of sustainable development and influenced global environmental policy.,,
che110-u1-14,CHE110,1,Spheres of Earth,medium,MCQ,mcq,Which layer represents the uppermost solid layer of the Earth?,"[""Mantle"", ""Inner Core"", ""Lithosphere"", ""Asthenosphere""]",2,"The lithosphere is the rigid outermost shell of the Earth, comprising the crust and upper mantle. It is broken into tectonic plates and includes the soil and rocky surface on which all terrestrial life exists.",,
che110-u1-15,CHE110,1,History,hard,MCQ,mcq,"Agenda 21, a comprehensive plan for sustainable development in the 21st century, was an outcome of which event?","[""Rio Earth Summit (1992)"", ""Stockholm Conference (1972)"", ""Kyoto Conference (1997)"", ""Copenhagen Summit (2009)""]",0,"Agenda 21 was adopted at the United Nations Conference on Environment and Development (UNCED) held in Rio de Janeiro in 1992. It is a non-binding action plan for sustainable development across social, economic, and environmental dimensions.",,
che110-u1-16,CHE110,1,Environmental Studies,easy,MCQ,mcq,Environmental Studies is described as being multidisciplinary in nature. What does this mean?,"[""It draws knowledge from multiple disciplines including science, social studies"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Environmental Studies is multidisciplinary because it integrates knowledge from natural sciences, social sciences, economics, law, and ethics to understand and address complex environmental problems.",,
che110-u1-17,CHE110,1,Sustainable Development,medium,MCQ,mcq,Sustainable development is primarily focused on achieving which type of equity?,"[""Inter-generational equity"", ""Intra-corporate equity"", ""Regional political equity"", ""Short-term economic equity""]",0,"Sustainable development emphasizes inter-generational equity — ensuring that future generations have access to the same resources and opportunities as the present generation. It also addresses intra-generational equity, ensuring fairness within the current generation.",,
che110-u1-18,CHE110,1,Spheres of Earth,hard,MCQ,mcq,In which layer of the atmosphere is the ozone layer primarily located?,"[""Stratosphere"", ""Troposphere"", ""Thermosphere"", ""Mesosphere""]",0,"The ozone layer is concentrated in the stratosphere, approximately 15–35 km above Earth's surface. It absorbs the majority of the Sun's harmful ultraviolet radiation, protecting life on Earth.",,
che110-u1-19,CHE110,1,Sustainable Development Goals,easy,MCQ,mcq,What is the primary objective of SDG 1?,"[""No Poverty"", ""Good Health and Well-being"", ""Clean Water and Sanitation"", ""Affordable and Clean Energy""]",0,"SDG 1 aims to end poverty in all its forms everywhere. This includes eradicating extreme poverty, reducing poverty rates, and ensuring access to basic resources and social protection for vulnerable populations.",,
che110-u1-20,CHE110,1,Sustainable Development Goals,medium,MCQ,mcq,What is the primary focus of SDG 6?,"[""Clean Water and Sanitation"", ""Gender Equality"", ""Industry Innovation and Infrastructure"", ""Responsible Consumption and Production""]",0,"SDG 6 aims to ensure availability and sustainable management of clean water and sanitation for all. It addresses water scarcity, water quality, wastewater treatment, and ecosystem protection related to water.",,
che110-u1-21,CHE110,1,Environmental Studies,easy,MCQ,mcq,What is the scope of Environmental Studies as a discipline?,"[""Both global and local environmental issues"", ""Only forest and wildlife conservation"", ""Only ocean and marine ecosystems"", ""Only industrial pollution control""]",0,"Environmental Studies covers a broad scope — from local issues like waste management and air quality to global concerns like climate change, biodiversity loss, and sustainable development. It operates at all scales.",,
che110-u1-22,CHE110,1,Importance,medium,MCQ,mcq,Why is environmental awareness critically important today?,"[""To address resource depletion, pollution, and environmental degradation"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Environmental awareness is essential to address growing threats like resource depletion, pollution, climate change, and biodiversity loss. It empowers individuals and communities to make informed decisions that protect the planet's life support systems.",,
che110-u1-23,CHE110,1,Components,hard,MCQ,mcq,An ecotone is best defined as which of the following?,"[""A transition zone between two adjacent ecosystems"", ""The central undisturbed zone of a mature forest"", ""The deepest part of the ocean floor"", ""A region with extremely high species extinction rates""]",0,"An ecotone is a transition zone between two distinct ecosystems, such as where a forest meets a grassland. Ecotones often have high biodiversity because they contain species from both adjacent ecosystems — a phenomenon called the edge effect.",,
che110-u1-24,CHE110,1,History,easy,MCQ,mcq,Which was the first United Nations conference dedicated to the human environment?,"[""Stockholm Conference 1972"", ""Rio Earth Summit 1992"", ""Paris Climate Conference 2015"", ""Montreal Protocol Meeting 1987""]",0,"The United Nations Conference on the Human Environment, held in Stockholm in 1972, was the first major international gathering focused on environmental issues. It led to the creation of UNEP (United Nations Environment Programme).",,
che110-u1-25,CHE110,1,Sustainability,medium,MCQ,mcq,How does a circular economy differ from a linear economy?,"[""Circular economy is sustainable because it reuses and recycles resources"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"A linear economy follows a 'take-make-dispose' model, generating large amounts of waste. A circular economy aims to keep resources in use for as long as possible through reuse, repair, and recycling, eliminating waste by design.",,
che110-u1-26,CHE110,1,Spheres of Earth,hard,MCQ,mcq,What is the approximate height range of the troposphere?,"[""0 to 10\u201315 km"", ""15 to 50 km"", ""50 to 80 km"", ""80 to 700 km""]",0,"The troposphere is the lowest layer of the atmosphere, extending from Earth's surface to about 10–15 km altitude. It contains most of the atmospheric mass and water vapour, and is where all weather phenomena occur.",,
che110-u1-27,CHE110,1,Sustainable Development Goals,easy,MCQ,mcq,What is the target year set for achieving all 17 Sustainable Development Goals?,"[""2030"", ""2025"", ""2050"", ""2100""]",0,"The SDGs are part of the 2030 Agenda for Sustainable Development, adopted by the United Nations in 2015. All 193 member states committed to achieving these goals by the year 2030.",,
che110-u1-28,CHE110,1,Pillars,medium,MCQ,mcq,What does social sustainability primarily involve?,"[""Equity, justice, and human well-being for all communities"", ""Maximizing financial profits for all individuals"", ""Planting trees and conserving forests only"", ""Reducing government spending on public services""]",0,"Social sustainability focuses on ensuring human well-being, equity, and justice — including access to education, healthcare, food, and safety for all. It emphasizes fair treatment and community cohesion across generations.",,
che110-u1-29,CHE110,1,Sustainability,hard,MCQ,mcq,What does the ecological footprint of a population measure?,"[""The amount of land and water required to sustain a population's resource consumption"", ""The process has no measurable impact on local ecosystems, which applies under standard theoretical conditions"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,The ecological footprint measures the amount of biologically productive land and sea needed to sustain a population's consumption and absorb its waste. Comparing a region's footprint with its biocapacity reveals sustainability levels.,,
che110-u1-30,CHE110,1,History,easy,MCQ,mcq,IPCC stands for which international body?,"[""Intergovernmental Panel on Climate Change"", ""International Pollution Control Commission"", ""Integrated Programme for Carbon Capture"", ""Inter-regional Panel for Chemical Concerns""]",0,"The IPCC (Intergovernmental Panel on Climate Change) is the leading UN body for assessing the science related to climate change. It provides policymakers with regular scientific assessments on climate change, its implications, and potential adaptation and mitigation strategies.",,
che110-u1-31,CHE110,1,Importance,medium,MCQ,mcq,Which of the following is an example of an ecosystem service provided by the environment?,"[""Pollination and oxygen production"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Ecosystem services are the benefits humans receive from healthy natural systems. These include provisioning services (food, water), regulating services (pollination, climate regulation, oxygen production), cultural services, and supporting services like soil formation.",,
che110-u1-32,CHE110,1,History,hard,MCQ,mcq,What was the primary goal of the Montreal Protocol (1987)?,"[""Protecting the ozone layer by phasing out ozone-depleting substances"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,The Montreal Protocol is an international treaty designed to protect the stratospheric ozone layer by phasing out the production and use of ozone-depleting substances (ODS) such as CFCs and HCFCs. It is considered the most successful environmental treaty.,,
che110-u1-33,CHE110,1,Spheres of Earth,easy,MCQ,mcq,What is the approximate percentage of nitrogen in the Earth's atmosphere?,"[""78%"", ""21%"", ""1%"", ""0.04%""]",0,"Nitrogen (N₂) makes up approximately 78% of the Earth's atmosphere, making it the most abundant gas. Oxygen constitutes about 21%, argon about 0.93%, and carbon dioxide about 0.04%.",,
che110-u1-34,CHE110,1,Spheres of Earth,medium,MCQ,mcq,What is the approximate percentage of oxygen in the Earth's atmosphere?,"[""21%"", ""78%"", ""0.03%"", ""50%""]",0,Oxygen (O₂) constitutes approximately 21% of Earth's atmosphere. It is essential for the respiration of most living organisms and plays a key role in combustion processes. Nitrogen makes up the remaining 78%.,,
che110-u1-35,CHE110,1,Sustainable Development Goals,hard,MCQ,mcq,What is the primary focus of SDG 14?,"[""Life Below Water"", ""Life on Land"", ""Climate Action"", ""Peace and Justice""]",0,"SDG 14 aims to conserve and sustainably use the oceans, seas, and marine resources. It addresses marine pollution, ocean acidification, overfishing, coastal protection, and sustainable fisheries management.",,
che110-u1-36,CHE110,1,Sustainable Development Goals,easy,MCQ,mcq,Which SDG number corresponds to 'Quality Education'?,"[""SDG 4"", ""SDG 1"", ""SDG 10"", ""SDG 6""]",0,"SDG 4 aims to ensure inclusive and equitable quality education and promote lifelong learning opportunities for all. It covers access to early childhood education, primary and secondary schooling, and technical and vocational training.",,
che110-u1-37,CHE110,1,Sustainability,medium,MCQ,mcq,Which of the following correctly distinguishes renewable from non-renewable energy?,"[""Solar energy is renewable; coal is non-renewable"", ""Coal is renewable because it forms naturally"", ""Solar energy is finite and will run out soon"", ""Both solar and coal have equal environmental impact""]",0,"Renewable energy sources like solar, wind, and hydro are naturally replenished and do not deplete over time. Non-renewable sources like coal, oil, and natural gas are finite fossil fuels formed over millions of years and cannot be replenished on a human timescale.",,
che110-u1-38,CHE110,1,Carrying Capacity,hard,MCQ,mcq,What typically happens when a population exceeds the carrying capacity of its environment?,"[""The system faces resource scarcity and population decline"", ""Population growth accelerates further"", ""The environment automatically expands its capacity"", ""Nothing changes; the population stabilizes instantly""]",0,"When a population exceeds carrying capacity, it consumes resources faster than they can be regenerated, leading to resource depletion, starvation, disease outbreaks, and eventually population decline or collapse.",,
che110-u1-39,CHE110,1,Components,easy,MCQ,mcq,"In an ecosystem, which organisms are classified as consumers?","[""Animals"", ""Green plants"", ""Sunlight"", ""Decomposers""]",0,"Consumers are heterotrophs that obtain energy by feeding on other organisms. They are classified as primary consumers (herbivores), secondary consumers (carnivores eating herbivores), and tertiary consumers (apex predators).",,
che110-u1-40,CHE110,1,Components,medium,MCQ,mcq,What is the primary role of decomposers in an ecosystem?,"[""Nutrient cycling by breaking down dead organic matter"", ""Producing sunlight energy for other organisms"", ""Directly consuming living plants and animals"", ""Forming the base of every food chain""]",0,"Decomposers like bacteria and fungi break down dead organic matter into simpler inorganic compounds, returning nutrients to the soil. This nutrient cycling is essential for maintaining soil fertility and supporting plant growth.",,
che110-u1-41,CHE110,1,Introduction,hard,MCQ,mcq,Which of the following is the best example of holozoic nutrition?,"[""Humans"", ""Green plants"", ""Fungi"", ""Bacteria""]",0,"Holozoic nutrition involves ingesting solid organic food and digesting it internally. Humans and most animals are holozoic. In contrast, plants are autotrophic, and fungi and many bacteria absorb nutrients from their surroundings (saprotrophic).",,
che110-u1-42,CHE110,1,Sustainable Development,easy,MCQ,mcq,What is the official title of the Brundtland Report published in 1987?,"[""Our Common Future"", ""The Green Earth Manifesto"", ""Silent Spring"", ""Limits to Growth""]",0,"'Our Common Future' was published in 1987 by the World Commission on Environment and Development (WCED), chaired by Gro Harlem Brundtland. It introduced the concept of sustainable development and called for global cooperation to address environmental challenges.",,
che110-u1-43,CHE110,1,Ethics,medium,MCQ,mcq,Anthropocentrism in environmental ethics refers to which worldview?,"[""A human-centered view where nature exists primarily for human benefit"", ""An Earth-centered view that gives equal value to all species"", ""A philosophy that considers ecosystems more important than individuals"", ""A view that only animal rights matter in environmental decisions""]",0,"Anthropocentrism places humans at the center of the moral universe, valuing nature primarily for its utility to humans. It contrasts with ecocentrism and biocentrism, which assign intrinsic value to nature and all living beings respectively.",,
che110-u1-44,CHE110,1,Ethics,hard,MCQ,mcq,Biocentrism as an environmental philosophy holds which core belief?,"[""All living beings have inherent value regardless of their utility to humans"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Biocentrism holds that all living organisms have intrinsic value and deserve moral consideration, not just humans. This philosophy, associated with thinkers like Paul Taylor, argues that every living being has a 'good of its own' that should be respected.",,
che110-u1-45,CHE110,1,Spheres of Earth,easy,MCQ,mcq,The cryosphere refers to which part of the Earth's system?,"[""All regions where water exists in frozen form (ice and snow)"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"The cryosphere encompasses all frozen water on Earth, including glaciers, ice caps, permafrost, sea ice, and snow cover. It plays a critical role in regulating global climate through albedo effects and influencing sea levels.",,
che110-u1-46,CHE110,1,Sustainability,medium,MCQ,mcq,The Triple Bottom Line (TBL) framework in sustainability refers to which three dimensions?,"[""People, Planet, Profit"", ""Land, Sea, Air"", ""Red, Blue, Green"", ""Growth, Equity, Efficiency""]",0,"The Triple Bottom Line, coined by John Elkington in 1994, asks organizations to commit to measuring their social, environmental, and economic impacts — People, Planet, and Profit. It expands the measure of business success beyond financial performance alone.",,
che110-u1-47,CHE110,1,Importance,hard,MCQ,mcq,What is the primary cause of global warming?,"[""Excess greenhouse gases (CO\u2082, CH\u2084, N\u2082O) from human activities"", ""Only volcanic eruptions and natural geological activity"", ""Increased solar radiation from sunspot activity"", ""Depletion of forest cover in tropical regions only""]",0,"Global warming is primarily driven by the excessive emission of greenhouse gases — especially carbon dioxide from fossil fuel combustion, methane from agriculture and landfills, and nitrous oxide from fertilizers. These gases trap outgoing heat radiation in the atmosphere.",,
che110-u1-48,CHE110,1,Sustainability,easy,MCQ,mcq,What do the 3Rs of waste management stand for?,"[""Reduce, Reuse, Recycle"", ""Rethink, Rebuild, Restore"", ""Report, Record, Remove"", ""Replace, Repair, Return""]",0,"The 3Rs — Reduce, Reuse, Recycle — form the foundational hierarchy of sustainable waste management. Reducing waste at source is the most effective, followed by reusing materials, and recycling as the final option before disposal.",,
che110-u1-49,CHE110,1,History,medium,MCQ,mcq,World Environment Day is observed annually on which date?,"[""June 5"", ""April 22"", ""September 16"", ""March 22""]",0,"World Environment Day is celebrated every year on June 5, established by the UN following the Stockholm Conference in 1972. April 22 is Earth Day, March 22 is World Water Day, and September 16 is World Ozone Day.",,
che110-u1-50,CHE110,1,History,hard,MCQ,mcq,Earth Day is celebrated annually on which date?,"[""April 22"", ""June 5"", ""May 1"", ""March 21""]",0,Earth Day is observed on April 22 each year since 1970. It was founded by Senator Gaylord Nelson to raise awareness of environmental issues. It is distinct from World Environment Day (June 5).,,
che110-u1-51,CHE110,1,Components,easy,MCQ,mcq,Which organisms are considered primary producers in an ecosystem?,"[""Green plants (via photosynthesis)"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,Primary producers are autotrophs — mainly green plants and algae — that convert solar energy into chemical energy through photosynthesis. They form the base of all food chains and are the entry point of energy into ecosystems.,,
che110-u1-52,CHE110,1,Sustainable Development Goals,medium,MCQ,mcq,What is the primary focus of SDG 15?,"[""Life on Land"", ""Gender Equality"", ""Life Below Water"", ""Responsible Consumption""]",0,"SDG 15 focuses on protecting, restoring, and promoting sustainable use of terrestrial ecosystems, halting deforestation, combating desertification, and preventing biodiversity loss on land.",,
che110-u1-53,CHE110,1,Sustainable Development Goals,hard,MCQ,mcq,How do the Sustainable Development Goals (SDGs) differ from the earlier Millennium Development Goals (MDGs)?,"[""SDGs are universal, broader, and apply to all countries \u2014 not just developing ones"", ""MDGs were established after the SDGs and are more comprehensive"", ""Both sets of goals are identical in scope and target countries"", ""SDGs focus only on environmental issues while MDGs addressed poverty""]",0,"The MDGs (2000–2015) focused mainly on developing countries and addressed basic human needs. The SDGs (2015–2030) are universal, apply to all nations, and cover a much broader range — including climate, inequality, sustainable production, and strong institutions.",,
che110-u1-54,CHE110,1,Pillars,easy,MCQ,mcq,What does economic sustainability fundamentally mean?,"[""Generating profit and growth without depleting natural resources"", ""Pursuing unlimited economic growth regardless of environmental cost"", ""Maintaining zero economic growth to protect the environment"", ""Restricting trade and commerce to reduce carbon emissions""]",0,Economic sustainability means maintaining a level of economic activity and growth that does not deplete natural resources or compromise environmental quality. It involves using resources efficiently and investing in long-term productive capacity.,,
che110-u1-55,CHE110,1,Environmental Studies,medium,MCQ,mcq,Public environmental awareness is most directly linked to achieving which goal?,"[""Conservation of natural resources and ecosystems"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Public awareness and environmental education lead to behavioral changes, informed voting, policy support, and responsible consumption. These individual and collective actions are essential for achieving conservation goals and sustainable development.",,
che110-u1-56,CHE110,1,Sustainable Development,hard,MCQ,mcq,What is the key difference between 'weak sustainability' and 'strong sustainability'?,"[""Strong sustainability holds that natural capital is irreplaceable and cannot be substituted"", ""Only industrialized nations with high per-capita income are affected by this"", ""Temperature fluctuations have negligible long-term effects on this environmental process"", ""The concentration of environmental pollutants naturally self-regulates to safe levels""]",0,"Weak sustainability allows natural capital to be substituted by human-made capital (e.g., technology replacing forests). Strong sustainability argues that certain natural capital — like biodiversity, clean air, and stable climate — is critical and cannot be substituted, and must be preserved.",,
che110-u1-57,CHE110,1,Spheres of Earth,easy,MCQ,mcq,What is the chemical formula for the ozone molecule?,"[""O\u2083"", ""O\u2082"", ""CO\u2082"", ""SO\u2082""]",0,"Ozone is composed of three oxygen atoms (O₃). In the stratosphere, it forms a protective layer that absorbs harmful ultraviolet radiation. At ground level, ozone is a pollutant and a component of photochemical smog.",,
che110-u1-58,CHE110,1,Spheres of Earth,medium,MCQ,mcq,How is the greenhouse effect best described?,"[""A natural and necessary process for life that becomes harmful when intensified"", ""The process has no measurable or documented impact on surrounding ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"The natural greenhouse effect keeps Earth's average temperature about 33°C warmer than it would otherwise be, making life possible. However, human-induced enhancement of this effect through excess GHG emissions is causing global warming and climate change.",,
che110-u1-59,CHE110,1,Sustainable Development Goals,hard,MCQ,mcq,What is the primary focus of SDG 5?,"[""Gender Equality"", ""Industry, Innovation and Infrastructure"", ""Zero Hunger"", ""Clean Water and Sanitation""]",0,"SDG 5 aims to achieve gender equality and empower all women and girls. It addresses discrimination, violence, unpaid care work, political participation, and equal access to education, healthcare, and economic opportunities.",,
che110-u1-60,CHE110,1,Sustainable Development Goals,easy,MCQ,mcq,What is the primary focus of SDG 7?,"[""Affordable and Clean Energy"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"SDG 7 aims to ensure access to affordable, reliable, sustainable, and modern energy for all. It promotes renewable energy expansion, energy efficiency improvements, and universal electricity access, especially in developing regions.",,
che110-u1-61,CHE110,1,Ethics,medium,MCQ,mcq,What is the central idea of Deep Ecology philosophy?,"[""All living beings have intrinsic value independent of their usefulness to humans"", ""The process has no measurable impact on local ecosystems, which applies under standard theoretical conditions"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Deep Ecology, developed by Arne Næss, holds that all life forms have intrinsic value regardless of their utility to humans. It advocates for restructuring human society to exist within ecological limits and respecting the rights of all life.",,
che110-u1-62,CHE110,1,Sustainable Development,hard,MCQ,mcq,The 'Tragedy of the Commons' refers to which environmental concept?,"[""The overuse and depletion of shared resources when individuals act in their own self-interest"", ""The process has no measurable impact on local ecosystems, according to the standard definition"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Coined by Garrett Hardin (1968), the Tragedy of the Commons describes how individually rational behavior leads to collective overuse and eventual destruction of shared resources — such as fisheries, groundwater, or the atmosphere.",,
che110-u1-63,CHE110,1,Environmental Studies,easy,MCQ,mcq,What is considered the fundamental unit of the environment?,"[""Ecosystem"", ""Individual organism"", ""City or urban zone"", ""A single species population""]",0,"The ecosystem is the basic functional unit of the environment, consisting of all the living organisms (biotic) in an area interacting with each other and with their non-living (abiotic) environment as a functional system.",,
che110-u1-64,CHE110,1,Components,medium,MCQ,mcq,Which organisms occupy the first trophic level in a food chain?,"[""Producers (green plants)"", ""Primary consumers (herbivores)"", ""Secondary consumers (carnivores)"", ""Decomposers (fungi and bacteria)""]",0,The first trophic level consists of producers — primarily green plants and algae — that convert solar energy into organic matter through photosynthesis. Energy flows from producers to consumers at successive trophic levels.,,
che110-u1-65,CHE110,1,Sustainability,hard,MCQ,mcq,What does the concept of a 'steady-state economy' propose?,"[""An economy with stable population"", ""The process has no measurable or documented impact on surrounding ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"A steady-state economy, advocated by Herman Daly, maintains a constant level of resource use and population. It operates within biophysical limits while still allowing qualitative development and improvement in quality of life.",,
che110-u1-66,CHE110,1,History,easy,MCQ,mcq,"Who authored 'Silent Spring', the book credited with launching the modern environmental movement?","[""Rachel Carson"", ""Amartya Sen"", ""Aldo Leopold"", ""Paul Ehrlich""]",0,"Rachel Carson's 'Silent Spring' (1962) documented the harmful environmental effects of pesticides, especially DDT. It raised widespread public awareness about environmental pollution and is credited with inspiring the modern environmental movement and the eventual banning of DDT.",,
che110-u1-67,CHE110,1,Importance,medium,MCQ,mcq,Ecosystem resilience refers to which ecological property?,"[""The ability of an ecosystem to recover from disturbances"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Ecosystem resilience is the capacity of an ecosystem to absorb disturbances (such as fire, pollution, or drought) and reorganize while undergoing change, returning to its previous state and function. Biodiverse ecosystems tend to have higher resilience.",,
che110-u1-68,CHE110,1,Importance,hard,MCQ,mcq,What is the typical ecological impact of invasive species?,"[""They disrupt local ecosystems"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"Invasive species are non-native organisms that spread aggressively in new environments. They compete with native species for resources, alter habitats, introduce new diseases, and can drive native species to extinction, causing significant ecological and economic damage.",,
che110-u1-69,CHE110,1,Spheres of Earth,easy,MCQ,mcq,In which layer of the atmosphere does all weather occur?,"[""Troposphere"", ""Exosphere"", ""Stratosphere"", ""Mesosphere""]",0,"Weather phenomena — including clouds, rain, thunderstorms, and wind — occur in the troposphere, the lowest atmospheric layer. It contains approximately 75% of the atmosphere's mass and almost all water vapour.",,
che110-u1-70,CHE110,1,Spheres of Earth,medium,MCQ,mcq,In which atmospheric layer does the aurora (Northern/Southern Lights) phenomenon occur?,"[""Ionosphere / Thermosphere"", ""The process has no measurable impact on local ecosystems"", ""Only industrialized developed nations are significantly affected"", ""Temperature and pressure have negligible effects on this process""]",0,"The aurora borealis and aurora australis occur in the ionosphere/thermosphere, about 90–500 km above Earth. They are caused by charged solar particles colliding with atmospheric gases, producing colorful light displays near the polar regions.",,
